"SampID","Temp_mean","Temp_max","Temp_min","Temp_sd","Temp_mean_sum","Temp_max_sum","Temp_min_sum","Temp_sd_sum","Temp_mean_win","Temp_max_win","Temp_min_win","Temp_sd_win","Light_mean","Light_max","Light_sd","Light_high","Light_p90","Light_range","Light_mean_sum","Light_max_sum","Light_sd_sum","Light_high_sum","Light_p90_sum","Light_range_sum","Light_mean_win","Light_max_win","Light_sd_win","Light_high_win","Light_p90_win","Light_range_win","Vpd_mean","Vpd_max","Vpd_min","Vpd_sd","Vpd_satfreq","Vpd_daysatfreq","Vpd_mean_sum","Vpd_max_sum","Vpd_min_sum","Vpd_sd_sum","Vpd_satfreq_sum","Vpd_daysatfreq_sum","Vpd_mean_win","Vpd_max_win","Vpd_min_win","Vpd_sd_win","Vpd_satfreq_win","Vpd_daysatfreq_win","nlightobs","nvpdobs","nlightobs_sum","nlightobs_win","nvpdobs_sum","nvpdobs_win"
1,13.4302035707712,35.971,-18.142,10.3331221256303,18.9091405115251,35.864,-8.447,7.71588628308119,5.77274845542807,35.971,-18.142,8.49790838134118,20905.7101750547,220445.9,35442.3893537477,0.176148796498906,60622.6,8,11807.841745283,209423.6,20016.5308697313,0.066627358490566,21355.7,6,35657.1297323136,220445.9,47883.703545981,0.353728489483748,110223,8,5.41885724846401,53.2437350959109,-2.81721209343783,6.13531709307422,0.0403092214246273,0.0691506157246606,5.96128787684069,40.833045266022,-1.26335636525219,5.95291728759119,0.0211556678244395,0.0211556678244395,4.66074701012819,53.2437350959109,-2.81721209343783,6.3051032625561,0.0670785525154457,0.0670785525154457,2742,5433,1696,1046,3167,2266
2,12.853244064053,32.291,-17.618,10.1582256507508,18.5600603094411,32.291,-7.657,7.65099648482652,4.87730097087379,27.764,-17.618,7.51451708737138,7020.96967694567,33066.9,5668.0576131361,0.00293685756240822,15155.7,4.5,5767.50871886121,24800.2,4484.09271979077,0,12400.1,0,9056.9380539499,33066.9,6707.08092899925,0.00770712909441233,18600.1,4.5,4.69780056879676,31.5984112222405,-2.81721209343783,4.88042326519342,0.0366280139885883,0.0628354910009473,5.42673481768046,24.2092756783388,-1.49654458081659,5.14666711877295,0.0202083991158825,0.0202083991158825,3.67902970992001,31.5984112222405,-2.81721209343783,4.27973499601215,0.059576345984113,0.059576345984113,2724,5433,1686,1038,3167,2266
3,13.1670425179459,35.542,-18.142,10.298405199997,18.7760514682665,35.542,-8.447,7.76299047708947,5.32779655781112,35.009,-18.142,8.04005861183684,10105.8134404675,88178.4,9000.19692794915,0.0525931336742148,20666.8,9.25,8312.99161747344,88178.4,7411.43432877354,0.0165289256198347,16533.4,5.25,13014.8557471264,63378.2,10474.4380109819,0.111111111111111,26178,9.25,5.12075948829661,50.604980011066,-2.13477683934698,5.63823015135733,0.045094791091478,0.0773602778654878,5.80800434855041,33.1098027523073,-0.910767757682162,5.82070320373591,0.0287338174928955,0.0287338174928955,4.16025442544411,50.604980011066,-2.13477683934698,5.22470995527424,0.0679611650485437,0.0679611650485437,2738,5433,1694,1044,3167,2266
4,13.1592624700902,35.542,-18.142,10.2177876431024,18.8788437006631,35.542,-8.182,7.71502617869673,5.16547881729921,26.39,-18.142,7.58381893079257,11007.3383436702,170845.6,14510.1276402038,0.0616563298066399,20666.8,6.25,9258.30411764706,170845.6,12582.1398770343,0.0347058823529412,18600.1,5.75,13863.5902017291,126756.4,16819.9673551087,0.10566762728146,26178,6.25,5.07480922194175,29.8847789900662,-2.06441095678115,5.19138530495495,0.0355236517577766,0.0609409535838333,5.93206558360621,29.8847789900662,-0.886617517932216,5.56882956426115,0.0192611304073255,0.0192611304073255,3.87669320367549,28.7096913130756,-2.06441095678115,4.33840407389546,0.058252427184466,0.058252427184466,2741,5433,1700,1041,3167,2266
5,13.2979606110804,34.796,-17.966,10.2476568782885,18.8470363119672,34.058,-8.182,7.59008495818076,5.54247837599294,34.796,-17.966,8.25193824684692,18486.4980635733,253512.8,34565.7787802848,0.140664961636829,38578,9.5,10728.1234946871,220445.9,19485.244796112,0.050767414403778,17222.3,8.25,31087.3480345158,253512.8,47576.4818840226,0.286673058485139,104711.8,9.5,5.21633152769117,49.5145835840364,-2.54805860557318,5.62322798204157,0.0449107307196761,0.0770445216293022,5.80224391806269,29.1466506126172,-1.02891805531642,5.42341672087247,0.0221029365329965,0.0221029365329965,4.39745044194245,49.5145835840364,-2.54805860557318,5.79388090381066,0.0767872903795234,0.0767872903795234,2737,5433,1694,1043,3167,2266
6,13.242015829192,32.497,-17.446,10.1213621634788,18.8195623618566,32.497,-7.787,7.5271904707713,5.44674227714034,31.574,-17.446,7.88619326710501,14103.891995614,231468.2,24933.3375342019,0.111476608187135,28933.5,8.5,8968.31766095688,148801,12380.6530894192,0.0401653868871825,17222.3,6,22439.9680728667,231468.2,35643.1274773153,0.227229146692234,55111.5,8.5,5.08704494627746,39.3669065146087,-2.48022835759414,5.15080556210061,0.0322105650653414,0.0552573413324913,5.73158638942692,26.3361877453152,-1.14644666271787,5.10120464036352,0.0145247868645406,0.0145247868645406,4.18622290282892,39.3669065146087,-2.48022835759414,5.08533081420518,0.0569285083848191,0.0569285083848191,2736,5433,1693,1043,3167,2266
7,13.6148254058135,37.165,-18.496,10.6091708456054,19.630407651715,37.165,-6.12,7.63577333038808,5.5657321270962,33.953,-18.496,8.4818880240874,21525.8742814483,231468.2,33359.0234471492,0.200821201941023,55111.5,8.75,13176.9283007335,176356.7,17614.2484590647,0.101466992665037,26178,8.5,34621.6323106424,231468.2,45739.3449672923,0.35666347075743,104711.8,7.75,5.66733268880842,46.5077140188026,-2.54805860557318,6.62965851433318,0.0539826349565874,0.0943271767810026,6.5436409199855,41.4017542569659,-1.36147543129896,6.91801728257708,0.0267150395778364,0.0267150395778364,4.49479669722461,46.5077140188026,-2.54805860557318,6.02831753146138,0.0904677846425419,0.0904677846425419,2679,5298,1636,1043,3032,2266
8,13.7625996686913,42.878,-18.318,10.4384106593839,19.1954944742659,42.878,-8.182,7.81353176708142,6.16949382171227,39.502,-18.318,8.77633680506029,24286.3755311355,253512.8,43543.9489657166,0.196703296703297,66133.8,8,14097.5344194313,220445.9,26125.5613792935,0.0989336492890995,24800.2,7.5,40791.9070057582,253512.8,58510.3787641093,0.355086372360845,137227.58,8,5.88640602062816,67.8058127771373,-2.81721209343783,6.95946031488722,0.0425179458862507,0.0729396905588885,6.46469382283982,67.8058127771373,-1.58021037301706,6.75631655051102,0.0249447426586675,0.0249447426586675,5.07818118849915,65.3291363161067,-2.81721209343783,7.15744343527637,0.0670785525154457,0.0670785525154457,2730,5433,1688,1042,3167,2266
9,14.0094311487482,45.076,-17.966,10.8247199359188,19.7263678560152,45.076,-8.447,8.44244436200643,6.01581589403974,36.62,-17.966,8.47157711823731,17158.3707636364,220445.9,21457.6271450675,0.186181818181818,33066.9,9.5,18070.6846018735,220445.9,24833.887991199,0.192037470725995,34444.7,9.5,15662.9465451056,104711.8,14176.910285543,0.17658349328215,30311.3,8.25,6.52209940169837,83.2564316267251,-1.11872648477939,8.34376563827238,0.0239322533136966,0.0410483107041364,7.74058324965141,83.2564316267251,-0.494287270904461,9.39554825968658,0.00915693084938428,0.00915693084938428,4.81837386241924,55.8250518909731,-1.11872648477939,6.2110336130027,0.0445916114790287,0.0445916114790287,2750,5432,1708,1042,3167,2265
10,14.4328657952872,45.201,-18.675,10.7401196625157,19.8040833596464,45.201,-9.117,8.24753344861966,6.922646799117,36.295,-18.675,9.20871489423394,41842.4100507983,253512.8,57227.0152095515,0.386429608127721,137778.7,10.25,25798.3521357519,253512.8,38230.8319034721,0.287302516091281,57867,9.75,68030.8484240688,253512.8,71637.7888467366,0.548233046800382,180765.62,10,6.90826214491975,83.2564316267251,-0.738354412736282,8.46511109993548,0.0388438880706922,0.0666245658351752,7.7101199400263,83.2564316267251,-0.637825465938715,8.94932108582417,0.0176823492263972,0.0176823492263972,5.78707731617695,54.3094640933079,-0.738354412736282,7.59874910112365,0.0684326710816777,0.0684326710816777,2756,5432,1709,1047,3167,2265
