"SampID","TreeID","Year","Setup_day","Setup_hour","Sample_day","Sample_hour","BranchPos","Pair","Diam","Angle","Aspect","BryoAbun","Height","PosR","PosTheta","LoggerID1","Logger_start_date","Logger_start_time","Logger_dump_date","Logger_dump_time","Logger_end_date","Logger_end_time","Notes","SampledBy","Freeze_date","LoggerID2"
1,2,2013,143,9,144,,"low","top",15.5,46,270,"few",12.4,3.6,90,10126134,"2013-06-18","00:00:00","2013-11-20","10:29:00","2014-04-18","09:00:00",,,,10126134
2,2,2013,143,9,144,,"low","side",15.5,0,350,"minute",12.4,3.6,90,9729240,"2013-06-10","00:00:00","2013-11-20","10:34:00","2014-04-18","09:00:00",,,,9729240
3,2,2013,143,9,144,,"high","top",14.5,35,340,"none",14.5,0.7,130,9729237,"2013-06-09","00:00:00","2013-11-20","10:50:00","2014-04-18","09:00:00",,,,9729237
4,2,2013,143,9,144,,"high","side",14.5,5,60,"none",14.9,0.7,130,9729230,"2013-06-02","00:00:00","2013-11-20","10:57:00","2014-04-18","09:00:00",,,,9729230
5,2,2013,143,9,144,,"mid","top",20,50,180,"none",13,1.15,0,9729233,"2013-06-05","00:00:00","2013-11-20","11:10:00","2014-04-18","09:00:00",,,,9729233
6,2,2013,143,9,144,,"mid","side",20,0,120,"none",13,1.15,0,9729231,"2013-06-03","00:00:00","2013-11-20","11:16:00","2014-04-18","09:00:00",,,,9729231
7,3,2013,143,11,148,,"low","top",15.5,55,55,"none",13,2.1,240,9729236,"2013-06-08","00:00:00","2013-11-20","12:38:00","2014-04-18","09:00:00",,,,9729236
8,3,2013,143,11,148,,"low","side",15.5,0,160,"none",13,2.1,240,9729232,"2013-06-04","00:00:00","2013-11-20","12:49:00","2014-04-18","09:00:00",,,,9729232
9,3,2013,143,11,148,,"high","side",21.5,10,280,"none",19.3,0.6,290,9729235,"2013-06-07","00:00:00","2013-11-20","13:07:00","2014-03-29","00:00:00","estimated angle b/c marker lost; logger fell during winter sampling",,,9729235
10,3,2013,143,11,148,,"high","top",21.5,25,210,"none",19,0.6,290,9729244,"2013-06-14","00:00:00","2013-11-20","13:10:00","2014-03-29","00:00:00","logger fell duing winter sampling and end time estimated from low light in time series",,,9729244
11,3,2013,143,11,148,,"mid","top",20.5,30,40,"none",17,0.9,220,9729234,"2013-06-06","00:00:00","2013-11-20","13:21:00","2014-04-18","09:00:00",,,,9729234
12,3,2013,143,11,148,,"mid","side",20.5,0,150,"none",17.2,0.9,220,9729228,"2013-06-01","00:00:00","2013-11-20","13:19:00","2014-04-18","09:00:00",,,,9729228
