"TaxonNum","TaxonID","FIA_code","GBIF_code","LIAS_code","Genus","Species","Morph","Chem_medulla","Chem_cortex","Lower_surface","Notes","Ascomata","Ascospores","Class","Form","Lichenized","TaxonConcept","NewTaxonID"
1,"Can_car",802,2606626,1149,"Canoparmelia","caroliniana","isidiate maculate;","K- C- PD-","K+ yellow","black brown",,,,"Lecanoromycetes","foliose",1,"species",
2,"Can_cro",803,2606578,1150,"Canoparmelia","crozalsiana","ridged surface with soredia on ridges; lobe tips brown-ish;","K+ yellow PD+ orange"," K+ yellow","black",,,,"Lecanoromycetes","foliose",1,"species",
3,"Can_tex",807,2606613,1152,"Canoparmelia","texana","ridged surface; soredia from laminal soralia","K- C- PD- or light yellow UV+ light blue",,,,,,"Lecanoromycetes","foliose",1,"species",
4,"Fla_cap",2600,2606178,2048,"Flavoparmelia","caperata",,"PD+ red",,,,,,"Lecanoromycetes","foliose",1,"species",
5,"Fol",9999,,,"Foliose",,"unable to identify",,,,,,,,"foliose",1,"unknown",
6,"Htr_liv",3208,2605576,2443,"Hypotrachyna","livida",,"K-","K+ yellow",,"Some K+ orange medulla specimens may be Myelochroa galbina",,,"Lecanoromycetes","foliose",1,"species",
7,"Pmo_hyp",5314,2606299,,"Parmotrema","hypotropum","ciliate marginal soredia","K+ red PD+ yellow","K+ yellow"," black with white edge",,,,"Lecanoromycetes","foliose",1,"species",
8,"Pmo_hyp2",5314,2606299,,"Parmotrema","hypotropum2","ciliate rhizine close to edge","K+ orange-red PD-","K+ yellow","tan","possibly ultralucens or subtinctorum",,,"Lecanoromycetes","foliose",1,"species",
9,"Pmo_ret",7104,6017788,4344,"Parmotrema","reticulatum","maculate ciliate sorediate","PD+ yellow or orange K+ red","K+ yellow",,"Brodo keys to Rimelia reticulata",,,"Lecanoromycetes","foliose",1,"species",
10,"Pmo_sp1",5300,2565599,,"Parmotrema","species1","small laminal isidia; few cilia thin brown rim","K+ yellow maybe K- PD+ orange C- KC+ orange-pink","K+ yellow PD+ orange C-","black with brown margin","LNA keys to Myelochroa (obsessa) but medulla not yellow",,,"Lecanoromycetes","foliose",1,"species",
11,"Pmo_sub",5320,3407498,11223,"Parmotrema","submarginale","apothecia pycnidia along lobe margin","K- C- PD+ red-orange",,"black with narrow brown edge",,,,"Lecanoromycetes","foliose",1,"species",
12,"Pmo_tin",5333,2606268,4357,"Parmotrema","tinctorum","isidiate possibly no cilia medulla white","K- PD- C+ pink or red near cortex","K+ yellow","black",,,,"Lecanoromycetes","foliose",1,"species",
13,"Pha_rub",5614,3427044,4635,"Phaeophyscia","rubropulchra",,,,,,,,"Lecanoromycetes","foliose",1,"species",
14,"Phy_aip",5702,2608929,4674,"Physcia","aipolia",,,,,,,,"Lecanoromycetes","foliose",1,"species",
15,"Phy_mil",5716,3427815,4707,"Physcia","millegrana",,,,,,,,"Lecanoromycetes","foliose",1,"species",
16,"Pun_rud",6708,2605231,,"Punctelia","rudecta","pseudocyphellae isidiate",,,,,,,"Lecanoromycetes","foliose",1,"species",
17,"Pun",6700,2605197,,"Punctelia",,"pseudocyphellae",,,,"assign to all Punctelia without reproduction",,,"Lecanoromycetes","foliose",1,"genus",
18,"Pyx_sub",6809,2609306,5267,"Pyxine","subcinerea",,,,,,,,"Lecanoromycetes","foliose",1,"species",
19,"Usn_str",8069,2606137,7755,"Usnea","strigosa",,,,,,,,"Lecanoromycetes","fruticose",1,"species",
20,"Per_con",,2600011,4468,"Pertusaria","consocians","light grey","K+ deep orange or red PD+ red","K-",,"may be Pertusaria subpertusa; epihymenium K+ violet; somewhat fusciform ascospores maybe 2 per ascus","verrucae with many small black ostioles and constricted at base",,"Lecanoromycetes","crustose",1,"species",
21,"Bue_dis",,2609859,,"Buellia","disciformis",,,"K+ yellow",,"MAYBE NOT disciformis- NEED TO RE-CHECK FOR OIL DROPLETS; ascospores may be slightly smaller than listed in LNA 6.8-11.9",,,"Lecanoromycetes","crustose",1,"species",
22,"UnID_cr1",,,,"Unknown","crust1","light green thin crust; no reproduction",,,,"may not all be same species",,,,"crustose",1,"unknown",
23,"Art_sus",,,,"Arthonia","susa","light crust",,"K+ deep yellow",,"definitely lichenized maybe Trentepohlia; LNA keys to Arthothelium ruanum but possibly Arthothelium spectabile","brown-black immersed irregular shaped; hymenial gel I+ red-orange","36.5 x 12.5 muriform  and slightly tapered on one side","Arthoniomycetes","crustose",1,"species",
24,"Lec_sp1",,,,"Lecanora","species1","light green thin crust; smooth",,"C- K+ yellow PD-",,"probably Lecanora hybocarpa","lecanorine many algae in margin; pink without pruina; 0.3mm; sometimes clustered; amphithecium with large crystals; epihymenium brown granules","simple 8.4 x 6.3","Lecanoromycetes","crustose",1,"species",
25,"Lec_sp2",,,,"Lecanora","species2","light green thin crust; leprose-scruffy or albellula",,"C- K+ yellow",,"probably Lecanora strobilina","lecanorine; ecorticate; surface light yellow-green","simple 8.7 x 3.8","Lecanoromycetes","crustose",1,"species","Lec_str"
26,"Lep_sp1",,,,"Lepraria","species1","granular leprose no prothallus",,"C- K- KC- PD-",,"photobiont chlorococcoid 4-cells",,,"Lecanoromycetes","crustose",1,"species",
27,"Bue_eru",,,718,"Buellia","erubescens","light green crust",,"K+ yellow turning red",,"GSM keys to Buellia stillingiana synonym","black lecideine; hypothecium brownish","brown 2-celled spores 16.2 x 4.9","Lecanoromycetes","crustose",1,"species",
28,"UnID_cr2",,,,"Unknown","crust2","light grey crust with possible smally black structures in thallus",,,,,,,,"crustose",1,"unknown",
29,"Pmo_ult",5334,2606236,4361,"Parmotrema","ultralucens","isidiate along margin or laminally; tips browned","K+ red PD+ orange UV+ orange","K+ yellow","black with brown margin","some specimens with laminal isidia others with marginal; may not be ultrlucens but LNA keys to it",,,"Lecanoromycetes","foliose",1,"species",
30,"Lec_cae",,,2650,"Lecanora","caesiorubella","verrucose",,"K+ yellow",,,"heavy pruinose; amphithecium PD+ yellow or red",,"Lecanoromycetes","crustose",1,"species",
31,"Usn",8000,,,"Usnea",,,,,,,,,"Lecanoromycetes","fruticose",1,"genus",
32,"Pmo",5300,,,"Parmotrema",,,,,,,,,"Lecanoromycetes","foliose",1,"genus",
33,"Cdl_eff",,2599891,7296,"Candelariella","efflorescens",,,,,,,,"Lecanoromycetes","crustose",1,"species",
34,"Lec_str",,2606750,2959,"Lecanora","strobilina",,,"K+ yellow C-",,"may be same as Lec_alb","epruinose; bumpy margin; clustered; pinkish",,"Lecanoromycetes","crustose",1,"species",
35,"Lca_nae",,5261280,501,"Lecania","naegelii","yellowish green sorediate crust sometimes with tiny black pycnidia",,"K- PD-",,"previosly IDed as UnID_cr3 but then found apothecia","has black heavily pruinose apothecia","4-celled rounded fusiform; 8 per ascus",,"crustose",1,"species",
36,"Mar_pol",,3434687,,"Maronea","polyphaea","verrucose green crust",,,,,"black with thick rim; asci I+ blue","small; many per ascus","Lecanoromycetes","crustose",1,"species",
37,"Usn_sp1",8086,,,"Usnea","species1","shrubby; axis solid and pink; fibrils maybe papillae","K+ red PD+ faint yellow",,,"maybe U baileyi","none",,"Lecanoromycetes","fruticose",1,"species","Usn_str"
38,"Pmo_sp2",,,,"Parmotrema","species2","long cilia","K- maybe faint yellow PD+ light yellow C-","K+ yellow","brown","no reproduction",,,"Lecanoromycetes","foliose",1,"species",
39,"Bue_sp1",,,,"Buellia","species1","whitish grey rimulose to granular crust",,"K+ yellow PD-",,"LNA keys to Buellia shaereri","black lecideine 0.5-1mm; probably some oile droplets in hymenium","brown 1-septate 14.7 x 6.3 um or smaller","Lecanoromycetes","crustose",1,"species",
40,"Pyr_var",,3435157,,"Pyrrhospora","varians","granular rimulose greenish crust",,"KC+ orangish K- C-",,,"0.25mm tan biatorine apothecia","round 7.7 x 6.3 simple hyaline spores","Lecanoromycetes","crustose",1,"species",
41,"UnID_cr4",,,,"Unknown","crust4","white verrucose crust",,,,,,,,"crustose",1,"unknown",
42,"Per_sp1",,,,"Pertusaria","species1","thin white crust","K+ yellow",,,"keys to P consocians but spores too small","epihymenium K+ violet; verrucae with sloping sides 1 black ostiole per verrucae","84 x 32 um inner walls ridged","Lecanoromycetes","crustose",1,"species",
43,"Usn_sp2",,,,"Usnea","species2","shrubby; mounded papillae near branch ends; dense white axis; base not blackened; possibly bone-like articulations","PD+ yellow K-",,,,"none",,"Lecanoromycetes","fruticose",1,"species","Usn_str"
44,"Pps_hor",5101,2605655,4278,"Parmelinopsis","horrescens",,,,,,,,"Lecanoromycetes","foliose",1,"species",
45,"Htr",3200,,,"Hypotrachyna",,,,,,,,,"Lecanoromycetes","foliose",1,"genus",
46,"Art_rub",,3548819,,"Arthonia","rubella","white crust",,,,,"red-brown lirellae not carbonized script to star shaped",,"Arthoniomycetes","crustose",1,"species",
47,"UnID_cr5",,,,"Unknown","crust5","white scruffy crust",,,,"Bacidia?","0.25mm black apothecia with appearance of perithecia; form donut when sliced; horizontally; carbonized exciple; asci K\I -","6ish-celled fusiform hyaline; 17.6 x 3.6 um; end cells larger",,"crustose",1,"unknown",
48,"UnID_cr6",,,,"Unknown","crust6","green verrucose nearly sorediate crust with small brown pycnidia?",,"K+ yellow maybe",,"possible Opegrapha vulgata?",,,,"crustose",1,"unknown",
49,"Lec_alb",,2606873,2608,"Lecanora","albellula","whitish greenish scruffy aereolate crust",,"K+ yellow or K- C-",,"may not be albelulla probably should all be Lec_sp2","0.5mm clustered; margin disappearing/scruffy; pale yellow beige domed; amphithecium with many algae","11.2 x 6.3um simple hyaline","Lecanoromycetes","crustose",1,"species",
50,"Per_sp2",,,,"Pertusaria","species2","thick light green crust","K+ yellow"," KC+ orange C- PD+ light yellow-orange UV+ bright  or dark orange",,"maybe same as Per_sp1 or  P texana or P leioplaca","verrucae with sloping sides and 1 ascoma; ostiole yellow-white and protruding","probably 4 or 8 per ascus; 52 x 20 maybe larger; K-; inner walls maybe smooth?","Lecanoromycetes","crustose",1,"species",
51,"Phy_pum",5720,3428420,14413,"Physcia","pumilior","small adnate grey foliose","K+ yellow PD-","K+ yellow","white",,"black lecanorine",,"Lecanoromycetes","foliose",1,"species",
52,"UnID_cr7",,,,"Unknown","crust7","light green crust with black pycnidia that can appear as perithecia or immersed apothecia",,"K+ dark yellow C- PD-",,"possibly same as UnID_cr6 or Art_sus?",,,,"crustose",1,"unknown",
53,"Cnd_con",,5260443,1113,"Candelaria","concolor","minute yellow foliose",,,,,,,"Lecanoromycetes","foliose",1,"species",
54,"Ope_vul",,,,"Opegraha","vulgata","immersed thallus many black pycnidia",,,,,"black narrow lireallae opening by slit","somewhat fusiform hyaline septate  I- 3.8um wide","Arthoniomycetes","crustose",1,"species",
55,"Per_tet",,2600101,4553,"Pertusaria","tetrathalamia","smooth crust",,"K+ deep yellow C-",,,"verrucae with sloping sides 1-3 ostioles sometimes black","114 x 31 um double walls; rough inner wall; probably 2 spores per ascus","Lecanoromycetes","crustose",1,"species",
56,"Phy_ame",,3428603,,"Physcia","americana","small grey appressed foliose",,"K+ yellow",,"laminal soredia in soralia",,,"Lecanoromycetes","foliose",1,"species",
57,"Cat_nig",,2607504,1216,"Catillaria","nigroclavata","dark green thallus",,,,"not completely sure of ID","0.25 black biatorine; paraphyses with grey-brown expanded caps; asci K\I+ blue","possibly underdeveloped; 7 x 1.8um possibly 1-septate; hyaline; 8 per ascus","Lecanoromycetes","crustose",1,"species",
58,"Ani_pol",,3466883,9976,"Anisomeridium","polypori","white immersed thallus; photobiont yellow",,,,,"perithecia 0.25mm; club-shaped asci",,"Eurotiomycetes","crustose",1,"species",
59,"Per_sp3",,,,"Pertusaria","species3","thick light green crust",,"K+ deep yellow C- KC- PD- UV+ light orange-pink?",,"probably Per_tet","verrucae with sloping sides 1 black ostiole","95-105 x 28 um; possibly smooth inner wall; 2 spores per ascus","Lecanoromycetes","crustose",1,"species",
60,"Lec_sp3",,,,"Lecanora","species3","thick light green crust","K+ yellow turning red PD+ yellow",,,"may be Lec_cae but amphithecium maybe not PD+; may be Och_afr","small lecanorine with thick rim; pruinose; black granules on surface",,"Lecanoromycetes","crustose",1,"species",
61,"Och_afr",,2600195,3974,"Ochrolechia","africana","thick verrucose grey crust","C+ pink","C- K+ yellow",,,"thick rim apothecia; smooth margin but tissue developing over top; surface yellowish with pruina","large simple like Pertusaria","Lecanoromycetes","crustose",1,"species",
62,"Pps_min",,2605663,4279,"Parmelinopsis","minarum","isidiate w/o cilia from tips; short cilia; downturned small lobes with brownish tips","C+ pink sometimes K- PD-",,,"LNA keys to Pps_hor",,,"Lecanoromycetes","foliose",1,"species",
63,"Usn_bai",8009,7247784,11535,"Usnea","baileyi","axis thick red hollow","PD+ yellow",,,,,,"Lecanoromycetes","fruticose",1,"species",
64,"Sco_chl",,2606679,5777,"Scoliciosporum","chlorococcum","granular-leprose green thallus",,,,,"black marginless biatorin small K/I  grey thick tholus","26.7 x 4.9 mm 7 cell somewhat curved fusiform hyaline uneven walls","Lecanoromycetes","crustose",1,"species",
65,"UnID_cr8",,,,"Unknown","crust8","thick light grey-green crust",,"K+ deep yellow C- KC- PD+ yellow-orange",,"possibly Pertusaria trachythallina",,,,"crustose",1,"unknown",
66,"Per_tra",,2600154,4556,"Pertusaria","trachythallina","thick verrucose grey crust with soredia from warts","K+ deep yellow PD+ orange",,,,,,"Lecanoromycetes","crustose",1,"species",
67,"Pmo_sui",,2606394,4353,"Parmotrema","subisidiosum","longish maculate lobes; cilia short and sometimes sparse; margin irregular; marginal and laminal isidia","K+ yellow turning deep red; PD+ light yellow or orange",,"black with dark brown rim; long rhizines","CNALH says should be PD+ orange",,,"Lecanoromycetes","foliose",1,"species",
68,"Phy_ste",5723,2608941,4717,"Physcia","stellaris","small lobes sometimes with lobules","K-","K+ yellow","white",,"black lecanorine apothecia",,"Lecanoromycetes","foliose",1,"species",
69,"Cal_sp1",,,,"Caloplaca","species1","thick green crust white medulla; possibly foliose? Nearly impossible to remove from substrate",,,,"CNALH keys to C camptidia","red-brown with rim but no algae in margin","12.6 x 7 um polilocular and somwhat oval to diamond shaped","Lecanoromycetes","crustose",1,"species",
70,"UnID_cr9",,,,"Unknown","crust9","light grey green crust with small whiter bumps; possibly becoming verrucose","K+ red PD+yellow","C-",,"no observed reproduction",,,,"crustose",1,"unknown",
71,"Het_obs",2816,,,"Parmotrema","obscurata","strap-shapped lobes; crescent-shaped soralia under lob tips; branched cilia",,"K+ yellow","no lower cortex orange in places that are K+ purple",,,,"Lecanoromycetes","foliose",1,"species",
72,"Mye_aur",4201,2605384,3855,"Myelochroa","aurulenta","small rounded lobes with short cilia; laminal soralia; medulla pale yellow","C- or C+ yellow",,"black",,,,"Lecanoromycetes","foliose",1,"species",
73,"Pmo_per",5323,3407732,4335,"Parmotrema","perforatum","long cilia; pycnidia on lobe tips","K+ deep red PD+ yellow-orange",,"white splotches",,,,"Lecanoromycetes","foliose",1,"species",
74,"UnID_hyp1",,,,"Unknown","hyphophore1","probably Gyalideopsis buckii according to Lucking 2007; smooth green crust with curved long black hyphophores",,,,"see Lucking 2009 for key in eastern NA Gomphillaceae",,,"Lecanoromycetes","crustose",1,"species","Gya_buc"
75,"Mye_obs",4204,2605398,8088,"Myelochroa","obsessa","isidiate; small downturned brown-tipped lobes with short cilia; light yellow medulla","K+ yellow PD+ yellow-orange C+ pale pink",,,"possibly Pps_min",,,"Lecanoromycetes","crustose",1,"species",
76,"Gra_scr",,7249709,2203,"Graphis","scripta",,,,,,"black lirellae","8+ celled hyaline uneven walls","Lecanoromycetes","crustose",1,"species",
77,"Lec_sp4",,,,"Lecanora","species4","thin light thallus","PD- K+ deep yellow",,,,"small black lecanorine apothecia starting within thallus","11.2 x 6.3 um hyaline simple ascospores; 8 per ascus","Lecanoromycetes","crustose",1,"species",
78,"Per_sp4",,,,"Pertusaria","species4","yellow-green crust","K+ yellow PD+ light orange C-","UV+ bright orange",,"probably P pustulata but C-","verrucae with sloping sides 1-5 ascomata black ostiole opening in cracks","98-112um long; possibly smooth walls; K- ascospores and epihymenium; 2 spores per ascus","Lecanoromycetes","crustose",1,"species",
79,"UnID_cr10",,,,"Unknown","crust10","smooth green crust with small black pycnidia",,,,,,,,"crustose",1,"unknown",
80,"UnID_cr11",,,,"Unknown","crust11","light green leprose? Crust",,,,,"small tan apothecia",,,"crustose",1,"unknown",
81,"Art_cae",,3548945,206,"Arthonia","caesia","granular yellow-green thallus",,"K+ yellow",,"could be Arthonia byssacea","small biatorine black apothecia with heavy pruina appearing blue-grey","12.6+ um long 4 cells hyaline; asci balloon shaped tips K\I - but gel blue","Arthoniomycetes","crustose",1,"species",
82,"UnID_cr12",,,,"Unknown","crust12","thick green possibly leprose crust",,,,,,,,"crustose",1,"unknown",
83,"Lec_alb2",,2606873,,"Lecanora","albellula2","thick light green crust",,,,"LNA keys to Lec_alb","possibly lecanorine (margin disappearing) domed grey brown","11.2x3.6um simple hyaline asci K\I+ blue","Lecanoromycetes","crustose",1,"species",
84,"UnID_cr13",,,,"Unknown","crust13","dark green granular crust",,,,"not lichenized- just algae",,,,"crustose",0,"unknown",
85,"UnID_hyp2",,,,"Unknown","hyphophore2","smooth green crust with translucent white hyphophores?",,,,"may be same as UnID_hyp2",,,"Lecanoromycetes","crustose",1,"unknown",
86,"Usn_str2",,,,"Usnea","strigosa2","shrubby with hard cortex loose white medulla and many fibrils; base not blackened","K- maybe light yellow PD+ deep yellow",,,,"apothecia",,"Lecanoromycetes","fruticose",1,"species","Usn_str"
87,"UnID_cr14",,,,"Unknown","crust14","white crust with brown pycnidia on protruding bumps",,,,"may be same as some UnID_cr7 samples",,,,"crustose",1,"unknown",
88,"UnID_hyp3",,,,"Unknown","hyphophore3","smooth green crust with black apothecia? Hyphophores scoop shaped",,,,,,,"Lecanoromycetes","crustose",1,"unknown","Gya_buc"
89,"UnID_cr15",,,,"Unknown","crust15","white crust with black pycnidia; yellow-green photobiont erupting through like soredia",,,,,,,,"crustose",1,"unknown",
90,"Lep_sp2",,,,"Lepraria","species2","light green leprose with black granules; pycnidia?",,,,,,,,"crustose",1,"species",
91,"Can",800,,,"Canoparmelia",,,,,,,,,"Lecanoromycetes","foliose",1,"genus",
92,"Mye",4200,,,"Myelochroa",,,,,,,,,"Lecanoromycetes","foliose",1,"genus",
93,"Phy",5700,,,"Physcia",,,,,,,,,"Lecanoromycetes","foliose",1,"genus",
94,"Gya_buc",,,,"Gyalideopsis","buckii","smooth green crust with black scoop-shaped hyphophores",,,,,,,,"crustose",1,"species",
95,"Pmo_dil",,,,"Parmotrema","dilatatum","dull smooth lobes with granular rounded soralia at margins cilia nearly absent","K- maybe yellow PD+ deep orange or red C-","K+ yellow","black with light brown at edge",,"none",,"Lecanoromycetes","foliose",1,"species",
96,"Lec",,,,"Lecanora",,,,,,,,,,"crustose",1,"genus",
97,"Lep",,,,"Lepraria",,,,,,,,,,"crustose",1,"genus",
98,"Per",,,,"Pertusaria",,,,,,,,,,"crustose",1,"genus",
99,"Art",,,,"Arthonia",,,,,,,,,,"crustose",1,"genus",
